,Title,Location,Company,Salary,Describtion,Requirements,Rating
127,Software Management Information Systems Internship (Summer 2...,"New York, NY",Retensa,NaN,"While gaining true hands-on experience, you will engage in real-world cross-functional technology problem solving from the ground up.",NaN,3.8
128,Software Developer Internship,NaN,TraX Software LLC,NaN,"We are looking for a passionate Student Software Engineer to help design, develop and implement software solutions for the construction industry.",High school or equivalent,NaN
129,Backend Engineer Intern,NaN,Shealth Startup,NaN,"Design & develop best of the breed backend services to power our mobile applications.Work closely with the product manager, mobile developers, and designer.",NaN,NaN
130,2020 Software Engineer Intern,NaN,Bloomberg,NaN,"Engineering interns take ownership of their projects under the mentorship of full-time software engineers.In addition to your projects, you'll participate in…",NaN,3.9
131,2020 Summer Intern: Jr. Software Developer,NaN,SPECTRUM,NaN,"Jr. Software Developer will write software in Java, Python or preferred assembly language.The Jr. software developer will be introduced into the SDLC (…",NaN,3.4
132,"Fullstack Software Developer Intern (JavaScript, Swift)",NaN,GoGoody Inc,$15 - $25 an hour,B.S. or M.S. in computer science or related fields;Very strong in JavaScript or Swift (at least 4 years' in-school or industry programming experience required)…,JavaScript: 2 years,NaN
133,Software Engineer Intern,"San Francisco, CA",Showwcase,NaN,"Design, develop and test software frameworks.Ensure we meet our commitments to ship high-quality software, clearly communicating across the product team and…",NaN,NaN
134,Full Stack Web Developer (Javascript HTML CSS) Intern for Ed...,"New York, NY",Smart Course,$12 - $14 an hour,"Our goals moving forward would be to continue partnering with organizations, influencers, or professionals that speak to parents of kids with ADHD and market…",NaN,NaN
135,Software Engineer Intern,"Berkeley, CA",Anyscale,NaN,"Develop high quality software to empower software developers and simplify programming.By exposing the right metrics and visualizations, providing high levels…",NaN,NaN
136,2020 Intern - ERP Software Development Engineer - El Segundo...,"El Segundo, CA",Northrop Grumman,NaN,Perform software engineering duties including documentation and managing the end to end life cycle of software development.Citizenship is a pre-requisite).,NaN,4.0
137,Software Development Intern (Full-Stack),"Boston, MA",Zippity,NaN,"Instead, we bring our custom, 4-season mobile service garages to our customers’ workplaces or homes and help them with everything from basic oil changes to…",NaN,NaN
138,Intern Software Engineer (Summer 2020),"Pleasanton, CA 94588",Veeva Systems,NaN,"Contribute to technical and functional design decisions, troubleshoot and provide technical product support, and be responsible for all aspects of the software…",NaN,4.0
139,Software Engineer Intern,"Orlando, FL",Electronic Arts,NaN,"Must be available for a full-time paid internship between September and December 2020 in Orlando, FL - USA**.",NaN,3.8
140,"Software Engineer, Intern (Winter or Summer)/Co-op","San Francisco, CA",Rimeto,NaN,"Demonstrated software engineering experience from coursework, previous internship, research/work experience, coding competitions, publications, or personal…",NaN,NaN
141,Intern-Software Engineer,"Bohemia, NY","North Atlantic Industries, Inc",NaN,"Develop application and software libraries to support NAI board products for Windows, Linux and VxWorks operating systems.",NaN,3.7
142,Software Engineer Summer Intern - Undergrad,"San Francisco, CA 94102 (Downtown area)",Proofpoint,NaN,"You’ll get to gain experience in testing software through building software.We work in close collaboration with developers, product management, and customer…",NaN,3.9
143,Backend Engineer Intern,NaN,Shealth Startup,NaN,"Design & develop best of the breed backend services to power our mobile applications.Work closely with the product manager, mobile developers, and designer.",NaN,NaN
144,ATG Sr. Quantitative Analyst (AT2) Intern,NaN,UNITED PARCEL SERVICE,NaN,"The Quantitative Analyst position targets graduates with versatile skillsets in emerging technology areas.Project work will be matched to skillsets, strengths,…",NaN,3.8
145,2020 Software Engineer Intern,NaN,Bloomberg,NaN,"Engineering interns take ownership of their projects under the mentorship of full-time software engineers.In addition to your projects, you'll participate in…",NaN,3.9
146,DevOps Engineer (Intern/Fulltime),NaN,Turing Video,NaN,"Software development: 1 year (Preferred).Located in the heart of Silicon Valley, Turing Video develops state-of-the-art deep learning, edge computing and self…",NaN,NaN
147,2020 Summer Intern: Jr. Software Developer,NaN,SPECTRUM,NaN,"Jr. Software Developer will write software in Java, Python or preferred assembly language.The Jr. software developer will be introduced into the SDLC (…",NaN,3.4
